Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
25304,1/7/11 18:59,Friday,Auto,Pedestrian,,Cambridge St,FIRST ST," Cambridge St & FIRST ST Cambridge, MA",42.370636,-71.076934,
25321,1/12/11 13:25,Wednesday,Auto,Pedestrian,,PRESCOTT ST,Cambridge St," PRESCOTT ST & Cambridge St Cambridge, MA",42.375355,-71.113415,
25326,1/13/11 11:15,Thursday,Auto,Pedestrian,186-,Alewife Brook Pky,,"186- Alewife Brook Pky Cambridge, MA",42.391032,-71.14135,
25348,1/17/11 11:26,Monday,Auto,Pedestrian,,PROSPECT ST,Bishop Allen Dr," PROSPECT ST & Bishop Allen Dr Cambridge, MA",42.366343,-71.10316,
25366,1/18/11 20:23,Tuesday,Auto,Pedestrian,,Massachusetts Ave,MAGAZINE ST," Massachusetts Ave & MAGAZINE ST Cambridge, MA",42.365574,-71.103991,
25418,1/27/11 19:09,Thursday,Auto,Pedestrian,,Massachusetts Ave,Albany St," Massachusetts Ave & Albany St Cambridge, MA",42.360828,-71.096012,
25444,1/31/11 17:00,Monday,Auto,Pedestrian,268,Concord Ave,,"268 Concord Ave Cambridge, MA",42.383354,-71.133195,
25446,1/31/11 18:56,Monday,Taxi,Pedestrian,,Broadway,Columbia St," Broadway & Columbia St Cambridge, MA",42.367871,-71.09736,
25466,2/3/11 2:19,Thursday,Auto,Pedestrian,36,JFK St,,"36 JFK St Cambridge, MA",42.372738,-71.11987,
25486,2/4/11 15:04,Friday,Auto,Pedestrian,,Massachusetts Ave,White St," Massachusetts Ave & White St Cambridge, MA",42.388676,-71.119242,
25504,2/5/11 21:00,Saturday,Auto,Pedestrian,,MAIN ST,Windsor St," MAIN ST & Windsor St Cambridge, MA",42.363207,-71.0967,
25545,2/10/11 10:30,Thursday,Auto,Pedestrian,,Massachusetts Ave,PLEASANT ST," Massachusetts Ave & PLEASANT ST Cambridge, MA",42.366408,-71.105392,
25554,2/10/11 8:49,Thursday,Auto,Pedestrian,2440,Massachusetts Ave,,"2440 Massachusetts Ave Cambridge, MA",42.397947,-71.131418,
25568,2/11/11 14:54,Friday,Auto,Pedestrian,1742,Massachusetts Ave,,"1742 Massachusetts Ave Cambridge, MA",42.368925,-71.110257,
25585,2/15/11 18:30,Tuesday,Auto,Pedestrian,,Bishop Allen Dr,Inman St," Bishop Allen Dr & Inman St Cambridge, MA",42.367335,-71.104827,
25602,2/18/11 20:04,Friday,Auto,Pedestrian,,Third St,Broadway," Third St & Broadway Cambridge, MA",42.362667,-71.084325,
25675,3/3/11 11:15,Thursday,Auto,Pedestrian,1621,Cambridge St,,"1621 Cambridge St Cambridge, MA",42.374873,-71.109046,
25694,3/6/11 1:12,Sunday,Auto,Pedestrian,,Broadway,Norfolk St," Broadway & Norfolk St Cambridge, MA",42.36852,-71.099001,
25723,3/14/11 20:30,Monday,Auto,Pedestrian,,MAIN ST,Galileo Galilei Way," MAIN ST & Galileo Galilei Way Cambridge, MA",42.362717,-71.089961,
25776,3/28/11 15:40,Monday,Auto,Pedestrian,699,MOUNT AUBURN ST,,"699 MOUNT AUBURN ST Cambridge, MA",42.375057,-71.148745,
25798,3/30/11 12:14,Monday,Auto,Pedestrian,,Cambridge St,Hampshire St," Cambridge St & Hampshire St Cambridge, MA",42.373729,-71.100837,
25801,4/1/11 19:47,Friday,Auto,Pedestrian,,MAIN ST,Vassar St," MAIN ST & Vassar St Cambridge, MA",42.362709,-71.089933,
25827,4/8/11 9:20,Friday,Auto,Pedestrian,,MOUNT AUBURN ST,Gibson St," MOUNT AUBURN ST & Gibson St Cambridge, MA",42.374824,-71.13259,
25848,4/13/11 8:49,,Auto,Pedestrian,721,Cambridge St,Cardinal Medeiros Ave,"721 Cambridge St Cambridge, MA",42.372221,-71.08849,
25853,4/14/11 7:15,,Auto,Pedestrian,,River St,MEMORIAL DR," River St & MEMORIAL DR Cambridge, MA",42.361462,-71.115963,
25861,4/16/11 20:46,,Bus (Other),Pedestrian,,Massachusetts Ave,PROSPECT ST," Massachusetts Ave & PROSPECT ST Cambridge, MA",42.365574,-71.103991,
